text,label,urgency_score,sender_type,sender_tier
"urgent: investor call in 15 min, deck not loading, fix now",high,0.8061,manager,3
your benefits enrollment closes in 2 days,medium,0.4359,unknown,0
Please update the JIRA ticket with your progress.,medium,0.662,peer,1
"project update: everything's on track, no blockers",low,0.0705,peer,1
meme incoming 😂,low,0.2391,peer,1
PR review needed before tomorrow's sprint demo.,medium,0.4149,peer,1
Budget approval needed before EOD TODAY - final reminder,high,0.7598,manager,3
"Driver: your passenger has left belongings, urgent return!",high,0.9892,unknown,0
Emergency team call in 5 minutes - mandatory attendance,high,0.8553,manager,3
Vendor payment pending your approval.,medium,0.6683,manager,3
Feature flag needs to be enabled before release,medium,0.5336,peer,1
"Just saw your post on LinkedIn, nice one.",low,0.22,peer,1
Weekly digest: top stories for you.,low,0.2842,unknown,0
draft the sow and share for review by tomorrow,medium,0.5673,peer,1
good morning!,low,0.3467,family,2
"breach: ssh keys exposed in public repo, rotate now",high,0.7993,peer,1
"server memory leak crashing every 10 min, need patch now",high,0.8898,peer,1
Coffee later?,low,0.0832,peer,1
"Hey, what's up?",low,0.0448,peer,1
"Ambulance called, Priya collapsed in office, please come!",high,0.9775,peer,1
Please review the proposal before the meeting.,medium,0.4234,peer,1
Database corruption detected - halt all writes immediately!,high,0.7719,peer,1
feature flag needs to be enabled before release,medium,0.665,peer,1
"ceo needs the numbers in 10 minutes, send immediately",high,0.8296,manager,3
"Final: board presentation in 8 minutes, file won't open!",high,0.7252,manager,3
Quarterly goals need to be updated in the system.,medium,0.3744,manager,3
"standby for oncall this weekend, you're primary",medium,0.6896,manager,3
emergency team call in 5 minutes - mandatory attendance,high,0.7837,manager,3
"Medical emergency at office, everyone please respond!",high,0.9186,unknown,0
how was your weekend?,low,0.2692,peer,1
Heads up: client visiting office tomorrow,medium,0.6197,manager,3
team: code freeze is thursday eod,medium,0.409,manager,3
coffee later?,low,0.1185,peer,1
budget approval needed before eod today - final reminder,high,0.9358,manager,3
Roadmap discussion moved to this Thursday,medium,0.4005,manager,3
no action needed - just a status ping,low,0.072,peer,1
"load balancer config change tonight, be aware",medium,0.4704,peer,1
"URGENT: Wrong data pushed to 10k users, recall now",high,0.8775,peer,1
Your subscription renews in 7 days.,low,0.1094,unknown,0
please double-check the prod deployment checklist,medium,0.4483,peer,1
"Contract renewal is up for review, need your input",medium,0.6481,manager,3
"Airport: your flight departs in 40 min, proceed to gate!",high,0.7156,unknown,0
FYI I'll be WFH tomorrow.,low,0.2255,peer,1
"Regulatory audit team arriving in 1 hour, not prepared!",high,0.8355,manager,3
Netflix just dropped a new show btw,low,0.2022,peer,1
Your training course expires in 5 days.,medium,0.5108,unknown,0
Quick question - do you prefer chai or coffee.,low,0.3147,peer,1
Budget spreadsheet needs your sign-off this week.,medium,0.4767,manager,3
DEADLINE: Submit the report in the next 20 minutes or we lose the contract!,high,0.7547,manager,3
"call me right now, something went wrong with the release",high,0.7601,manager,3
Please respond to client's email from yesterday.,medium,0.589,manager,3
Can you review my PR when you get a chance? No rush.,medium,0.6574,peer,1
Your account password expires in 3 days,medium,0.5787,unknown,0
"SLA breach in 20 min if not resolved, client watching",high,0.9433,manager,3
"sos: i'm stuck in traffic, client meeting in 5 min, can you start?",high,0.8208,peer,1
Budget approval needed before EOD TODAY - final reminder,high,0.7132,manager,3
"Yo, free this evening?",low,0.0743,peer,1
Your access request has been approved,medium,0.3752,unknown,0
Tip: complete your profile to get more matches,low,0.0231,unknown,0
Reminder: gym session at 7am tomorrow.,low,0.0508,peer,1
"System alert: CPU at 99% for 15 min, intervention needed",high,0.7959,unknown,0
your subscription renews in 7 days,low,0.1584,unknown,0
weekly digest: top stories for you,low,0.3423,unknown,0
Expense report needs to be submitted this week.,medium,0.6813,unknown,0
Can you send me that article you mentioned?,low,0.3228,peer,1
Netflix just dropped a new show btw,low,0.112,peer,1
"new hire starting monday, please prepare onboarding",medium,0.4845,manager,3
Security patch needs to be applied this week.,medium,0.5124,peer,1
ESCALATION: Customer data visible to wrong users - P0!,high,0.9441,manager,3
can you help debug this issue by eod?,medium,0.6343,peer,1
"Server memory leak crashing every 10 min, need patch NOW!",high,0.7488,peer,1
"Regulatory audit team arriving in 1 hour, not prepared!",high,0.8963,manager,3
Please respond to client's email from yesterday,medium,0.5824,manager,3
critical bug in checkout flow - users can't pay - ship hotfix now,high,0.7201,peer,1
Your order has shipped.,low,0.0754,unknown,0
"Candidate background check cleared, offer going out.",medium,0.6212,manager,3
Can you cover for me in the standup tomorrow.,medium,0.6118,peer,1
Team: code freeze is Thursday EOD,medium,0.3864,manager,3
"asap: insurance claim deadline today 5pm, submit now",high,0.7925,unknown,0
Can you cover for me in the standup tomorrow.,medium,0.6066,peer,1
Just checking in!,low,0.1419,peer,1
"critical path: if you don't merge this in 10 min, release fails",high,0.9708,peer,1
can you send me that article you mentioned?,low,0.1334,peer,1
Production is down. Repeat: prod is down. All hands NOW,high,0.9333,peer,1
your child's school: please call urgently,high,0.8702,unknown,0
please update the jira ticket with your progress,medium,0.6456,peer,1
"Daily step goal: 80% achieved, keep going.",low,0.3451,unknown,0
ALERT: Unauthorized access attempt on production,high,0.814,unknown,0
Roadmap discussion moved to this Thursday,medium,0.5074,manager,3
"Contract renewal is up for review, need your input.",medium,0.476,manager,3
Your order has shipped!,low,0.0558,unknown,0
Draft the SOW and share for review by tomorrow,medium,0.6796,peer,1
"project update: everything's on track, no blockers",low,0.2953,peer,1
reminder: dentist appointment thursday 4pm,low,0.3179,unknown,0
no action needed - just a status ping,low,0.1326,peer,1
"Server memory leak crashing every 10 min, need patch NOW!",high,0.7286,peer,1
Tip: complete your profile to get more matches,low,0.242,unknown,0
Please review the proposal before the meeting,medium,0.3746,peer,1
"Gas leak reported in the building, exit immediately!",high,0.9706,unknown,0
need your signature on the nda before eod,medium,0.3773,manager,3
No action needed - just a status ping,low,0.1875,peer,1
Your account password expires in 3 days.,medium,0.4119,unknown,0
Have you tried that new restaurant.,low,0.31,peer,1
bank flagged suspicious transaction on company account,high,0.904,unknown,0
DEADLINE: Submit the report in the next 20 minutes or we lose the contract!,high,0.7122,manager,3
"Project update: everything's on track, no blockers",low,0.3436,peer,1
Reminder: team lunch tomorrow.,low,0.1913,peer,1
"URGENT: Client threatening to pull the contract, need you on call!",high,0.9809,manager,3
fyi i'll be wfh tomorrow,low,0.1596,peer,1
Just checking in!,low,0.3037,peer,1
"Client meeting moved to 4pm, please update your calendar.",medium,0.6887,manager,3
"Daily step goal: 80% achieved, keep going.",low,0.3006,unknown,0
"Emergency: data leak in prod DB, escalate immediately!",high,0.8693,peer,1
"Production cert expires in 45 minutes, renew NOW",high,0.787,peer,1
Tip: complete your profile to get more matches.,low,0.2201,unknown,0
"ceo needs the numbers in 10 minutes, send immediately",high,0.7857,manager,3
Deployment scheduled for 3pm today - just FYI,medium,0.3649,peer,1
"Marketing campaign going live Thursday, review copy.",medium,0.6552,peer,1
"Hey, how's the new project going.",low,0.0285,peer,1
No action needed - just a status ping,low,0.1471,peer,1
"URGENT: Client threatening to pull the contract, need you on call",high,0.9662,manager,3
don't forget mom's birthday next week,low,0.1418,family,2
Critical bug in checkout flow - users can't pay - ship hotfix now,high,0.9366,peer,1
"Hey, what's up?",low,0.2769,peer,1
heads up: client visiting office tomorrow,medium,0.4668,manager,3
"Production cert expires in 45 minutes, renew NOW",high,0.7553,peer,1
"Regulatory audit team arriving in 1 hour, not prepared",high,0.8717,manager,3
ALERT: Unauthorized access attempt on production,high,0.8075,unknown,0
reminder: gym session at 7am tomorrow,low,0.3487,peer,1
Random thought: we should catch up sometime,low,0.1454,peer,1
"URGENT: Wrong data pushed to 10k users, recall now!",high,0.9807,peer,1
can you cover for me in the standup tomorrow?,medium,0.6733,peer,1
Tip: complete your profile to get more matches.,low,0.2736,unknown,0
"Happy birthday to Raj btw, don't forget to wish.",low,0.0799,peer,1
Team: please fill in the availability form by Thursday.,medium,0.5059,manager,3
Team: please fill in the availability form by Thursday.,medium,0.6179,manager,3
Client exec escalated to our CEO - call me now,high,0.7271,manager,3
Are we still on for Friday drinks.,low,0.1649,peer,1
New blog post from your favourite author.,low,0.0988,unknown,0
Random thought: we should catch up sometime,low,0.2854,peer,1
"System alert: CPU at 99% for 15 min, intervention needed",high,0.7809,unknown,0
"Gas leak reported in the building, exit immediately",high,0.8977,unknown,0
Random thought: we should catch up sometime.,low,0.0924,peer,1
Don't forget mom's birthday next week,low,0.2575,family,2
can you cover for me in the standup tomorrow?,medium,0.6683,peer,1
"Urgent: refund batch job failed, 500 customers affected",high,0.7092,peer,1
Security patch needs to be applied this week.,medium,0.5941,peer,1
"Production cert expires in 45 minutes, renew NOW!",high,0.7398,peer,1
"Client meeting moved to 4pm, please update your calendar",medium,0.4904,manager,3
"Building fire alarm triggered, evacuate immediately!",high,0.8635,unknown,0
client exec escalated to our ceo - call me now,high,0.7768,manager,3
"urgent: refund batch job failed, 500 customers affected",high,0.8748,peer,1
did you watch the game last night?,low,0.0471,peer,1
"CRITICAL PATH: If you don't merge this in 10 min, release fails",high,0.9145,peer,1
Team: code freeze is Thursday EOD,medium,0.6837,manager,3
"Airport: your flight departs in 40 min, proceed to gate",high,0.9292,unknown,0
"urgent: client threatening to pull the contract, need you on call",high,0.8373,manager,3
"ASAP: Insurance claim deadline today 5pm, submit now!",high,0.7551,unknown,0
API rate limits hit 80% - keep an eye on it.,medium,0.5309,peer,1
"URGENT: Server is down, customers can't login - call NOW!",high,0.7399,peer,1
"Ransomware detected on 3 machines, disconnect from VPN now",high,0.9209,peer,1
"Server memory leak crashing every 10 min, need patch NOW",high,0.8047,peer,1
Need your signature on the NDA before EOD.,medium,0.6731,manager,3
roadmap discussion moved to this thursday,medium,0.4563,manager,3
"happy birthday to raj btw, don't forget to wish",low,0.169,peer,1
PR review needed before tomorrow's sprint demo.,medium,0.639,peer,1
"power outage in datacenter, backup failing",high,0.8947,peer,1
vendor payment pending your approval,medium,0.3927,manager,3
"Hey, are you coming to the party?",low,0.0436,peer,1
Random thought: we should catch up sometime,low,0.1881,peer,1
Urgent: lawyer needs document signed in next 30 min,high,0.7833,manager,3
"Building fire alarm triggered, evacuate immediately",high,0.8631,unknown,0
netflix just dropped a new show btw,low,0.1771,peer,1
Your package has been delivered.,low,0.0211,unknown,0
Did you watch the game last night?,low,0.1151,peer,1
"project update: everything's on track, no blockers",low,0.103,peer,1
Deployment scheduled for 3pm today - just FYI.,medium,0.3776,peer,1
Can you help debug this issue by EOD?,medium,0.4383,peer,1
"ASAP: Security breach detected, isolate the system",high,0.7884,peer,1
Your order has shipped!,low,0.0598,unknown,0
urgent: lawyer needs document signed in next 30 min,high,0.8415,manager,3
Vendor payment pending your approval.,medium,0.398,manager,3
roadmap discussion moved to this thursday,medium,0.5242,manager,3
reminder: performance review cycle starts monday,medium,0.5939,manager,3
"URGENT: Wrong data pushed to 10k users, recall now!",high,0.8951,peer,1
Did you watch the game last night.,low,0.1524,peer,1
Quick question - do you prefer chai or coffee?,low,0.1831,peer,1
"Driver: your passenger has left belongings, urgent return",high,0.7041,unknown,0
New blog post from your favourite author.,low,0.0872,unknown,0
fyi i'll be wfh tomorrow,low,0.1134,peer,1
"Regulatory audit team arriving in 1 hour, not prepared",high,0.9595,manager,3
please confirm your availability for client call,medium,0.3667,manager,3
"building fire alarm triggered, evacuate immediately",high,0.8448,unknown,0
Survey: rate your experience with us.,low,0.1685,unknown,0
"marketing campaign going live thursday, review copy",medium,0.483,peer,1
"CRITICAL PATH: If you don't merge this in 10 min, release fails!",high,0.8066,peer,1
API rate limits hit 80% - keep an eye on it,medium,0.5781,peer,1
"URGENT: Wrong data pushed to 10k users, recall now",high,0.8731,peer,1
"hey, what's up?",low,0.3069,peer,1
"Medical emergency at office, everyone please respond",high,0.8943,unknown,0
Tip: complete your profile to get more matches.,low,0.0539,unknown,0
"URGENT: Wrong data pushed to 10k users, recall now",high,0.9764,peer,1
Your account password expires in 3 days.,medium,0.3724,unknown,0
When are you free for a quick catch-up call.,low,0.0296,peer,1
"Hey, enjoyed the presentation today!",low,0.2149,peer,1
"Ransomware detected on 3 machines, disconnect from VPN now",high,0.835,peer,1
"ambulance called, priya collapsed in office, please come",high,0.923,peer,1
Reminder: submit your timesheet by EOD Friday.,low,0.1324,unknown,0
Your two-factor auth was just used from an unknown location,high,0.8635,unknown,0
"Just saw your post on LinkedIn, nice one!",low,0.1809,peer,1
"Candidate background check cleared, offer going out",medium,0.3729,manager,3
Can you hop on a quick call sometime today.,medium,0.6519,manager,3
Final warning: approve the PR or we miss the release window!,high,0.9487,peer,1
When are you free for a quick catch-up call.,low,0.0345,peer,1
Your monthly statement is ready to view,low,0.1751,unknown,0
"urgent: wrong data pushed to 10k users, recall now",high,0.7389,peer,1
Did you get my email from yesterday.,low,0.3198,peer,1
"emergency: project go-live in 2 hours, critical test failing",high,0.8855,manager,3
"Fraud alert: unusual activity on your account, call bank!",high,0.7931,unknown,0
"CRITICAL PATH: If you don't merge this in 10 min, release fails!",high,0.7702,peer,1
"asap: security breach detected, isolate the system",high,0.7097,peer,1
Need your signature on the NDA before EOD.,medium,0.5397,manager,3
Network switch failure - entire floor is offline!,high,0.7233,peer,1
Security patch needs to be applied this week,medium,0.6264,peer,1
"monthly report due this friday, just a reminder",medium,0.5839,manager,3
Don't forget mom's birthday next week.,low,0.2256,family,2
"Fraud alert: unusual activity on your account, call bank",high,0.7509,unknown,0
Are we still on for Friday drinks?,low,0.1346,peer,1
"Dinner at 8pm, let me know",low,0.2658,family,2
"Hey, what's up.",low,0.1185,peer,1
can you hop on a quick call sometime today?,medium,0.599,manager,3
ESCALATION: Customer data visible to wrong users - P0!,high,0.733,manager,3
"Load balancer config change tonight, be aware.",medium,0.4098,peer,1
Your benefits enrollment closes in 2 days.,medium,0.5352,unknown,0
Netflix just dropped a new show btw,low,0.1725,peer,1
Please confirm your availability for client call.,medium,0.6308,manager,3
The cafeteria has biryani today just saying.,low,0.2032,peer,1
Security patch needs to be applied this week,medium,0.5347,peer,1
"Client on the phone, need answer right now",high,0.8985,manager,3
Tip: complete your profile to get more matches,low,0.2264,unknown,0
"Urgent: refund batch job failed, 500 customers affected!",high,0.7746,peer,1
your two-factor auth was just used from an unknown location,high,0.8547,unknown,0
Client exec escalated to our CEO - call me now,high,0.9674,manager,3
DEADLINE: Submit the report in the next 20 minutes or we lose the contract,high,0.7485,manager,3
"Hey, enjoyed the presentation today!",low,0.3193,peer,1
Please review the proposal before the meeting.,medium,0.4011,peer,1
the cafeteria has biryani today just saying,low,0.3303,peer,1
Your package has been delivered.,low,0.2951,unknown,0
escalation: customer data visible to wrong users - p0,high,0.8326,manager,3
Bank flagged suspicious transaction on company account!,high,0.981,unknown,0
"Building fire alarm triggered, evacuate immediately",high,0.787,unknown,0
Expense report needs to be submitted this week.,medium,0.5668,unknown,0
"Fraud alert: unusual activity on your account, call bank",high,0.7577,unknown,0
Just checking in!,low,0.2382,peer,1
"contract renewal is up for review, need your input",medium,0.5006,manager,3
Reminder: submit your timesheet by EOD Friday.,low,0.0828,unknown,0
New blog post from your favourite author.,low,0.0974,unknown,0
Have you tried that new restaurant.,low,0.064,peer,1
The cafeteria has biryani today just saying.,low,0.0548,peer,1
"Emergency: project go-live in 2 hours, critical test failing!",high,0.8104,manager,3
please update the jira ticket with your progress,medium,0.5625,peer,1
client exec escalated to our ceo - call me now,high,0.8675,manager,3
Your package has been delivered.,low,0.1372,unknown,0
deployment scheduled for 3pm today - just fyi,medium,0.5301,peer,1
Lunch plans today?,low,0.1171,peer,1
Budget spreadsheet needs your sign-off this week,medium,0.5241,manager,3
"Power outage in datacenter, backup failing!",high,0.8471,peer,1
Please double-check the prod deployment checklist.,medium,0.434,peer,1
pr review needed before tomorrow's sprint demo,medium,0.5923,peer,1
"client meeting moved to 4pm, please update your calendar",medium,0.6471,manager,3
PR review needed before tomorrow's sprint demo,medium,0.5038,peer,1
"grocery list: milk, eggs, bread",low,0.221,family,2
security patch needs to be applied this week,medium,0.4221,peer,1
fyi the meeting room is booked for 3pm,low,0.2023,peer,1
Pick up the dry cleaning on your way home,low,0.04,family,2
client exec escalated to our ceo - call me now,high,0.8105,manager,3
mom: beta call me now something happened to dad,high,0.9239,family,2
interview scheduled for candidate tomorrow 2pm,medium,0.6894,manager,3
"URGENT: Client threatening to pull the contract, need you on call",high,0.8255,manager,3
Please double-check the prod deployment checklist.,medium,0.6465,peer,1
your subscription renews in 7 days,low,0.1733,unknown,0
"Updated design files shared, please review",medium,0.4026,peer,1
Did you get my email from yesterday.,low,0.3307,peer,1
"CRITICAL PATH: If you don't merge this in 10 min, release fails",high,0.9302,peer,1
Happy Friday!,low,0.3042,peer,1
Your subscription renews in 7 days.,low,0.1151,unknown,0
"bro the server is literally on fire, call me now",high,0.8824,peer,1
please review the proposal before the meeting,medium,0.6436,peer,1
Coffee later.,low,0.2774,peer,1
are we still on for friday drinks?,low,0.1238,peer,1
"Power outage in datacenter, backup failing",high,0.7496,peer,1
"Driver: your passenger has left belongings, urgent return",high,0.8004,unknown,0
"Ransomware detected on 3 machines, disconnect from VPN now!",high,0.8783,peer,1
"Contract renewal is up for review, need your input",medium,0.3625,manager,3
Network switch failure - entire floor is offline!,high,0.9774,peer,1
Have you tried that new restaurant.,low,0.046,peer,1
Interview scheduled for candidate tomorrow 2pm,medium,0.5701,manager,3
"URGENT: Investor call in 15 min, deck not loading, fix NOW",high,0.8842,manager,3
DEADLINE: Submit the report in the next 20 minutes or we lose the contract,high,0.7957,manager,3
emergency team call in 5 minutes - mandatory attendance,high,0.7685,manager,3
"Marketing campaign going live Thursday, review copy.",medium,0.5336,peer,1
Feature flag needs to be enabled before release,medium,0.5513,peer,1
"critical: payment gateway failing, losing transactions",high,0.7027,peer,1
ESCALATION: Customer data visible to wrong users - P0,high,0.8601,manager,3
"Airport: your flight departs in 40 min, proceed to gate!",high,0.9543,unknown,0
Mom: beta CALL ME NOW something happened to dad!,high,0.9305,family,2
FYI the meeting room is booked for 3pm,low,0.3166,peer,1
interview scheduled for candidate tomorrow 2pm,medium,0.3845,manager,3
"marketing campaign going live thursday, review copy",medium,0.3725,peer,1
Network switch failure - entire floor is offline!,high,0.8603,peer,1
"Driver: your passenger has left belongings, urgent return!",high,0.9694,unknown,0
FYI - office is closing early Friday.,low,0.0595,peer,1
Client exec escalated to our CEO - call me now,high,0.9633,manager,3
please double-check the prod deployment checklist,medium,0.6482,peer,1
"Hey, enjoyed the presentation today.",low,0.0663,peer,1
random thought: we should catch up sometime,low,0.2187,peer,1
please double-check the prod deployment checklist,medium,0.6336,peer,1
Can you help debug this issue by EOD?,medium,0.4814,peer,1
New ticket assigned to you: medium priority.,medium,0.5657,unknown,0
Can you send me that article you mentioned?,low,0.2563,peer,1
Budget approval needed before EOD TODAY - final reminder!,high,0.7961,manager,3
critical bug in checkout flow - users can't pay - ship hotfix now,high,0.7024,peer,1
database migration scheduled for tonight 11pm,medium,0.6703,peer,1
budget spreadsheet needs your sign-off this week,medium,0.6346,manager,3
Database migration scheduled for tonight 11pm,medium,0.5122,peer,1
"contract renewal is up for review, need your input",medium,0.6063,manager,3
